key,press_time,release_time,platform_id,session_id,user_ids
't',1.655039606611381e+18,1.655039605755158e+18,3,1,1
'w',1.655039606171756e+18,1.655039606282735e+18,3,1,1
'i',1.655039606410773e+18,1.655039606531321e+18,3,1,1
't',1.655039606611381e+18,1.655039606691391e+18,3,1,1
't',1.655039606763477e+18,1.655039606850971e+18,3,1,1
Key.enter,1.655039607075459e+18,1.655039607189056e+18,3,1,1
'f',1.655039615139352e+18,1.655039615243101e+18,3,1,1
'p',1.655039615435079e+18,1.65503961550708e+18,3,1,1
'd',1.655039615659467e+18,1.655039615763078e+18,3,1,1
'1',1.655039616107083e+18,1.655039616202971e+18,3,1,1
's',1.655039617818532e+18,1.655039617938552e+18,3,1,1
'o',1.655039617970509e+18,1.655039618074438e+18,3,1,1
'c',1.655039618220544e+18,1.655039618323133e+18,3,1,1
'i',1.655039618370574e+18,1.655039618474462e+18,3,1,1
'a',1.655039618586615e+18,1.655039618682505e+18,3,1,1
'l',1.65503961942721e+18,1.655039619506839e+18,3,1,1
Key.shift_r,1.655039619858556e+18,1.655039620594376e+18,3,1,1
'@',1.655039620394492e+18,1.655039620466991e+18,3,1,1
'g',1.655039621114494e+18,1.655039621218878e+18,3,1,1
'm',1.655039621251286e+18,1.655039621363134e+18,3,1,1
'a',1.655039621586679e+18,1.655039621699117e+18,3,1,1
'i',1.655039621730347e+18,1.655039621834455e+18,3,1,1
'l',1.655039622034147e+18,1.655039622138799e+18,3,1,1
'.',1.655039622610497e+18,1.655039622730274e+18,3,1,1
'c',1.655039622770294e+18,1.655039622890221e+18,3,1,1
'o',1.655039622922231e+18,1.65503962301794e+18,3,1,1
'm',1.655039623090003e+18,1.655039623185977e+18,3,1,1
Key.enter,1.655039623874197e+18,1.655039623936828e+18,3,1,1
Key.shift_r,1.655039625776742e+18,1.655039626215685e+18,3,1,1
Key.shift_r,1.655039627618971e+18,1.655039627951621e+18,3,1,1
Key.shift_r,1.655039635613269e+18,1.655039635956456e+18,3,1,1
'I',1.655039635844694e+18,1.655039669192251e+18,3,1,1
Key.space,1.655039636012423e+18,1.655039636171983e+18,3,1,1
'j',1.655039636164663e+18,1.655039636260993e+18,3,1,1
'u',1.65503963634051e+18,1.655039636436013e+18,3,1,1
's',1.655039636405008e+18,1.655039636532457e+18,3,1,1
't',1.655039636668355e+18,1.655039636763631e+18,3,1,1
Key.space,1.655039636748401e+18,1.65503963685222e+18,3,1,1
'g',1.655039636868318e+18,1.655039636964212e+18,3,1,1
'o',1.655039636972274e+18,1.655039637083757e+18,3,1,1
't',1.655039637077806e+18,1.655039637220073e+18,3,1,1
Key.space,1.655039637180141e+18,1.655039637300176e+18,3,1,1
'c',1.655039637404812e+18,1.65503963750024e+18,3,1,1
'o',1.655039637524153e+18,1.655039637627891e+18,3,1,1
'a',1.655039637652066e+18,1.655039637788202e+18,3,1,1
'c',1.655039637900099e+18,1.655039638012333e+18,3,1,1
'h',1.655039637980158e+18,1.655039638051839e+18,3,1,1
Key.space,1.655039638099762e+18,1.655039638216551e+18,3,1,1
'c',1.65503963818767e+18,1.655039638299299e+18,3,1,1
'a',1.655039638411777e+18,1.655039638531935e+18,3,1,1
'r',1.655039638667879e+18,1.655039638779863e+18,3,1,1
't',1.655039638867933e+18,1.655039638971819e+18,3,1,1
'e',1.655039639060244e+18,1.655039639155295e+18,3,1,1
'r',1.655039639227611e+18,1.655039639307835e+18,3,1,1
'-',1.65503963988353e+18,1.655039639963476e+18,3,1,1
'p',1.655039640147536e+18,1.655039640235451e+18,3,1,1
'i',1.65503964073925e+18,1.655039635980593e+18,3,1,1
'l',1.655039640979059e+18,1.655039641051052e+18,3,1,1
'l',1.655039641131342e+18,1.65503964123529e+18,3,1,1
'e',1.655039641267277e+18,1.655039641363362e+18,3,1,1
'd',1.655039641539075e+18,1.655039641635233e+18,3,1,1
Key.space,1.65503964195511e+18,1.65503964201918e+18,3,1,1
'a',1.655039642403025e+18,1.655039642514819e+18,3,1,1
'n',1.655039642634571e+18,1.655039642739042e+18,3,1,1
'd',1.655039642787006e+18,1.65503964299466e+18,3,1,1
Key.space,1.655039642962789e+18,1.655039643076023e+18,3,1,1
Key.backspace,1.655039643666803e+18,1.655039645410291e+18,3,1,1
Key.backspace,1.655039644166849e+18,1.65503964830586e+18,3,1,1
Key.backspace,1.655039644250249e+18,1.655039650801558e+18,3,1,1
Key.backspace,1.655039644333612e+18,1.655039677623544e+18,3,1,1
'r',1.655039646602274e+18,1.655039646721931e+18,3,1,1
't',1.655039646794294e+18,1.655039646875439e+18,3,1,1
'e',1.655039647002274e+18,1.655039647090066e+18,3,1,1
'r',1.655039647202329e+18,1.655039647282188e+18,3,1,1
'r',1.655039651548225e+18,1.65503965165825e+18,3,1,1
'a',1.655039651865682e+18,1.655039651985592e+18,3,1,1
'n',1.655039652121766e+18,1.655039652209347e+18,3,1,1
'd',1.655039652225394e+18,1.655039652361037e+18,3,1,1
'o',1.655039652353399e+18,1.655039652432963e+18,3,1,1
'm',1.655039652497541e+18,1.655039652593606e+18,3,1,1
'l',1.655039652681519e+18,1.655039652785551e+18,3,1,1
'y',1.655039652801485e+18,1.655039652944929e+18,3,1,1
Key.space,1.655039652921324e+18,1.655039653049261e+18,3,1,1
'd',1.655039653177299e+18,1.655039653274422e+18,3,1,1
'e',1.655039653345435e+18,1.655039653433375e+18,3,1,1
'c',1.655039653537469e+18,1.655039653648719e+18,3,1,1
'i',1.655039653633396e+18,1.655039640859272e+18,3,1,1
'd',1.655039653753351e+18,1.655039653857626e+18,3,1,1
'e',1.655039653937416e+18,1.65503965398542e+18,3,1,1
'd',1.655039654097372e+18,1.655039654205204e+18,3,1,1
Key.space,1.655039654345271e+18,1.655039654433256e+18,3,1,1
't',1.655039654497438e+18,1.65503965456928e+18,3,1,1
'o',1.655039654609287e+18,1.655039654712709e+18,3,1,1
Key.space,1.655039654705324e+18,1.655039654801204e+18,3,1,1
'w',1.655039654874248e+18,1.655039654977253e+18,3,1,1
'a',1.655039655089555e+18,1.655039655185157e+18,3,1,1
't',1.655039655321235e+18,1.655039655409219e+18,3,1,1
'c',1.655039655545103e+18,1.655039655657507e+18,3,1,1
'h',1.655039655664882e+18,1.655039655713173e+18,3,1,1
Key.space,1.655039655865109e+18,1.655039655960988e+18,3,1,1
'a',1.655039656265124e+18,1.65503965638522e+18,3,1,1
Key.space,1.655039656385959e+18,1.655039656481086e+18,3,1,1
'c',1.655039656529129e+18,1.65503965660898e+18,3,1,1
'l',1.655039656673483e+18,1.655039656753061e+18,3,1,1
'i',1.655039656851988e+18,1.655039653737343e+18,3,1,1
'p',1.655039657032703e+18,1.655039657192978e+18,3,1,1
Key.space,1.655039657216872e+18,1.655039657336116e+18,3,1,1
'f',1.655039657312361e+18,1.655039657424278e+18,3,1,1
'r',1.655039657488933e+18,1.655039657601032e+18,3,1,1
'o',1.655039657568848e+18,1.655039657657654e+18,3,1,1
'm',1.65503965772871e+18,1.655039657848128e+18,3,1,1
Key.space,1.65503965784202e+18,1.655039657968896e+18,3,1,1
'c',1.655039657976684e+18,1.655039658088813e+18,3,1,1
'o',1.655039658091011e+18,1.655039658185017e+18,3,1,1
'a',1.655039658232884e+18,1.655039658328772e+18,3,1,1
'c',1.655039658480744e+18,1.655039658576368e+18,3,1,1
'h',1.655039658568926e+18,1.655039658641433e+18,3,1,1
Key.space,1.655039658848423e+18,1.65503965893682e+18,3,1,1
'c',1.655039658984906e+18,1.655039659073123e+18,3,1,1
'a',1.655039659241183e+18,1.655039659352901e+18,3,1,1
'r',1.655039659536223e+18,1.65503965964124e+18,3,1,1
't',1.655039659736903e+18,1.655039659816857e+18,3,1,1
'e',1.655039659928801e+18,1.655039660016749e+18,3,1,1
'r',1.655039660176618e+18,1.655039660248315e+18,3,1,1
Key.space,1.655039660992403e+18,1.655039661104643e+18,3,1,1
'a',1.655039661352722e+18,1.655039661456892e+18,3,1,1
'n',1.655039661464301e+18,1.655039661552645e+18,3,1,1
'd',1.655039661560202e+18,1.655039661673481e+18,3,1,1
Key.space,1.655039661641296e+18,1.655039661728474e+18,3,1,1
'a',1.655039668520023e+18,1.655039668623987e+18,3,1,1
'l',1.655039668631916e+18,1.655039668704313e+18,3,1,1
'l',1.655039668776286e+18,1.655039668871673e+18,3,1,1
Key.space,1.655039668864137e+18,1.655039668976124e+18,3,1,1
Key.shift_r,1.655039668960111e+18,1.655039669215562e+18,3,1,1
Key.space,1.655039669192936e+18,1.655039669304006e+18,3,1,1
'c',1.655039669496032e+18,1.655039669584146e+18,3,1,1
'a',1.655039669792137e+18,1.655039669912501e+18,3,1,1
'n',1.655039669944125e+18,1.655039670032545e+18,3,1,1
Key.space,1.655039670039852e+18,1.655039670147941e+18,3,1,1
's',1.655039670139934e+18,1.655039670239411e+18,3,1,1
'a',1.655039670336239e+18,1.655039670447526e+18,3,1,1
'y',1.655039670432092e+18,1.655039670512687e+18,3,1,1
Key.space,1.655039670544051e+18,1.655039670632596e+18,3,1,1
'i',1.655039670663934e+18,1.655039656953104e+18,3,1,1
's',1.65503967073613e+18,1.655039670871661e+18,3,1,1
Key.space,1.655039670832101e+18,1.655039670936035e+18,3,1,1
't',1.655039671096188e+18,1.655039671183519e+18,3,1,1
'h',1.655039671176031e+18,1.655039671288041e+18,3,1,1
'e',1.655039671295853e+18,1.65503967144796e+18,3,1,1
'y',1.655039671367911e+18,1.655039671463315e+18,3,1,1
Key.space,1.655039671448673e+18,1.655039671559427e+18,3,1,1
'r',1.655039671551752e+18,1.655039671623852e+18,3,1,1
'e',1.655039671712811e+18,1.655039671792011e+18,3,1,1
'a',1.655039671903928e+18,1.655039672016002e+18,3,1,1
'l',1.655039672056249e+18,1.655039672120012e+18,3,1,1
'l',1.65503967219202e+18,1.655039672312522e+18,3,1,1
'y',1.655039672303838e+18,1.655039672407863e+18,3,1,1
Key.space,1.65503967236788e+18,1.655039672471202e+18,3,1,1
'm',1.655039672456165e+18,1.655039672559998e+18,3,1,1
'e',1.655039672592058e+18,1.655039672679885e+18,3,1,1
's',1.655039672803962e+18,1.655039672872494e+18,3,1,1
's',1.655039672943989e+18,1.655039673039846e+18,3,1,1
'e',1.655039673112913e+18,1.655039673175881e+18,3,1,1
'd',1.655039673279796e+18,1.655039673399984e+18,3,1,1
Key.space,1.655039673351907e+18,1.655039673447704e+18,3,1,1
'u',1.655039673472802e+18,1.655039673513e+18,3,1,1
'p',1.655039673655839e+18,1.655039673743917e+18,3,1,1
'.',1.655039673983973e+18,1.655039674032152e+18,3,1,1
'.',1.655039674136035e+18,1.655039674207877e+18,3,1,1
'.',1.655039674279822e+18,1.655039674367829e+18,3,1,1
't',1.655039675321333e+18,1.655039675436617e+18,3,1,1
'h',1.655039675428954e+18,1.655039675527414e+18,3,1,1
'a',1.655039675607842e+18,1.655039675759541e+18,3,1,1
't',1.655039675727843e+18,1.655039675799818e+18,3,1,1
Key.space,1.655039675863618e+18,1.6550396759918e+18,3,1,1
'w',1.655039675951821e+18,1.655039676080153e+18,3,1,1
'h',1.655039676015879e+18,1.655039676103636e+18,3,1,1
'o',1.655039676183648e+18,1.655039676263661e+18,3,1,1
'l',1.655039676359583e+18,1.655039676481718e+18,3,1,1
'e',1.655039676447622e+18,1.655039676575158e+18,3,1,1
Key.space,1.655039676535815e+18,1.655039676647588e+18,3,1,1
's',1.655039676663698e+18,1.65503967678374e+18,3,1,1
'c',1.655039676880209e+18,1.655039676967757e+18,3,1,1
'e',1.655039677072913e+18,1.655039677143765e+18,3,1,1
'e',1.655039677231608e+18,1.655039677375782e+18,3,1,1
'n',1.655039677775788e+18,1.655039677871173e+18,3,1,1
'e',1.655039677863804e+18,1.655039677975709e+18,3,1,1
Key.space,1.655039677927711e+18,1.655039678074735e+18,3,1,1
't',1.655039678075336e+18,1.655039678175073e+18,3,1,1
'o',1.655039678280195e+18,1.655039678359703e+18,3,1,1
'o',1.655039678423044e+18,1.655039678535687e+18,3,1,1
'k',1.655039678615682e+18,1.655039678711795e+18,3,1,1
Key.space,1.655039678713796e+18,1.655039678831507e+18,3,1,1
'p',1.655039678855837e+18,1.65503967894369e+18,3,1,1
'l',1.655039679015677e+18,1.655039679095096e+18,3,1,1
'a',1.655039679087629e+18,1.655039679175692e+18,3,1,1
'c',1.655039679303525e+18,1.655039679375684e+18,3,1,1
'e',1.655039679487609e+18,1.655039679607017e+18,3,1,1
Key.space,1.655039679567728e+18,1.655039679680101e+18,3,1,1
'i',1.655039679672433e+18,1.655039670759416e+18,3,1,1
'n',1.655039679839576e+18,1.655039679943636e+18,3,1,1
Key.space,1.655039680031444e+18,1.655039680175449e+18,3,1,1
'a',1.655039680672394e+18,1.655039680799011e+18,3,1,1
Key.space,1.655039680911633e+18,1.655039681031374e+18,3,1,1
'g',1.655039681263584e+18,1.655039681367504e+18,3,1,1
'y',1.655039681472331e+18,1.655039681559588e+18,3,1,1
'm',1.655039681575286e+18,1.655039681687425e+18,3,1,1
Key.space,1.655039681695519e+18,1.655039681791537e+18,3,1,1
'i',1.655039681807381e+18,1.655039679775496e+18,3,1,1
'n',1.65503968194353e+18,1.655039682047131e+18,3,1,1
's',1.65503968199954e+18,1.655039682095113e+18,3,1,1
